"search_topic","year","month","hour","day_of_week","moment_of_day","image_license","superficie_px2","image_size_kb","image_com","image_views","page_num","private_collections","image_favs","image_favs_cat"
"Fantasy art",2018,7,15,"Saturday","Afternoon","Copyright",1.27322873246131,1.43512866091386,0.264663753833989,-0.110291832186877,0,0,0.64422136349793,"Medium"
"Fantasy art",2018,9,10,"Thursday","Morning","Copyright",-0.484373811830421,-0.188699586752696,0.535243237018833,0.735587279086032,0,1,1.18320669481417,"High"
"Fantasy art",2017,8,16,"Thursday","Afternoon","Copyright",0.163771342505032,-0.341753897165564,0.86997446039499,0.556104912571263,0,0,1.23442150808235,"High"
"Fantasy art",2018,4,12,"Tuesday","Afternoon","Copyright",-0.0768286412266087,-0.626176050467513,0.678871911942237,0.667862005221196,0,0,0.99156365348602,"High"
"Fantasy art",2022,2,9,"Saturday","Morning","Copyright",-0.0730545875606651,-0.580950848655633,0.485564957437096,1.35283120083403,0,0,1.04044052643494,"High"
"Fantasy art",2022,1,15,"Thursday","Afternoon","Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 License",0.50106486586471,0.72411648833221,0.752540671663576,1.80235918342828,0,0,0.937793755539008,"High"
"Fantasy art",2020,8,13,"Wednesday","Afternoon","Copyright",-0.0988727678691838,0.117429742319937,1.29520291095891,1.05270611561258,0,2,1.49907397808233,"High"
"Fantasy art",2019,2,19,"Monday","Evening","Copyright",-0.320964996252958,-0.123436713516027,0.752540671663576,0.46077377808999,0,0,1.16499012017871,"High"
"Fantasy art",2021,6,11,"Tuesday","Morning","Copyright",-0.0239979423977316,0.121400385142451,-0.401233803721672,0.817799862152057,0,0,0.538252168039231,"Medium"
"Fantasy art",2022,4,21,"Wednesday","Night","Copyright",-0.0988727678691838,0.339898076574469,0.353421466795957,1.74361810317393,0,0,0.6909510045538,"Medium"
"Fantasy art",2018,10,14,"Thursday","Afternoon","Copyright",-0.510792883589891,-0.318266890492076,0.105435323961856,0.637857504463685,0,0,0.99156365348602,"High"
"Fantasy art",2019,1,16,"Friday","Afternoon","Copyright",-0.620231534435863,-0.0383908949395296,0.624968438633422,0.479570417356873,0,0,0.99156365348602,"High"
"Fantasy art",2021,9,11,"Sunday","Morning","Copyright",-0.662908296040137,-0.361475526455108,1.42483191661018,1.93925847659366,0,1,1.01655744780642,"High"
"Fantasy art",2019,4,21,"Sunday","Night","Copyright",-0.427287397921416,0.144752928949978,0.535243237018833,0.55083467769313,0,0,1.23442150808235,"High"
"Fantasy art",2020,9,8,"Wednesday","Morning","Copyright",-0.0934674967345274,0.156137420341322,0.898800375005438,1.71310050991299,0,3,1.04044052643494,"High"
"Fantasy art",2020,3,16,"Thursday","Afternoon","Copyright",-0.36512799909222,-0.31194371166253,0.287951300236546,0.468171049216266,0,0,0.965350772301244,"High"
"Fantasy art",2016,1,18,"Monday","Evening","Copyright",-0.578000331811898,-0.264331613047283,0.764085764095635,0.793350194099855,0,0,1.33779668771923,"High"
"Fantasy art",2021,8,22,"Monday","Night","Copyright",-0.0988727678691838,-1.16555920907503,0.652448776261586,1.5989511257876,0,0,0.6909510045538,"Medium"
"Fantasy art",2021,5,16,"Thursday","Afternoon","Copyright",0.937407703526356,1.25656331456334,-0.0258037335929871,0.20738127874429,0,0,0.278914838075501,"Medium"
"Fantasy art",2020,12,7,"Sunday","Morning","Copyright",0.525863598478885,1.08392131311207,0.485564957437096,1.57472967599581,0,0,0.878041053079712,"High"
"Fantasy art",2020,3,18,"Wednesday","Evening","Copyright",0.105699736711865,0.381767463125403,1.52633135305643,1.67422297633886,0,1,1.37666109291004,"High"
"Fantasy art",2020,11,17,"Wednesday","Evening","Copyright",0.769634397567619,1.17905664118859,0.978661192456387,1.8101026179729,0,0,0.99156365348602,"High"
"Fantasy art",2022,3,22,"Thursday","Night","Copyright",-0.0988727678691838,-1.39166997114736,0.935444626954401,1.4859785675281,0,4,0.773746086414192,"High"
"Fantasy art",2020,6,16,"Wednesday","Afternoon","Copyright",0.898166379902216,1.27150935408062,0.31047518138001,1.08404402867234,0,0,0.733941105705724,"High"
"Fantasy art",2021,12,15,"Friday","Afternoon","Copyright",1.51382879696799,2.32030713478857,0.624968438633422,1.24160888987908,1,0,1.01655744780642,"High"
"Fantasy art",2021,7,9,"Monday","Morning","Copyright",0.882681192496243,0.413513528950893,-0.0629434178243754,0.44672690755223,1,1,0.358460940258305,"Medium"
"Fantasy art",2019,4,7,"Monday","Morning","Copyright",-0.703372857679377,-0.562644181960405,1.2737350128517,0.567329573618372,1,0,0.99156365348602,"High"
"Fantasy art",2016,11,13,"Monday","Afternoon","Copyright",-0.484373811830421,-0.393507569351735,1.42483191661018,0.752727259732664,1,0,1.68274213641726,"High"
"Fantasy art",2015,9,13,"Friday","Afternoon","Copyright",-0.12510706577172,0.14856881114327,1.71060640027912,0.732569425574819,1,0,1.29590171837539,"High"
"Fantasy art",2020,3,14,"Tuesday","Afternoon","Copyright",-1.63729640226933,-0.569719581253934,0.264663753833989,0.891492406918345,1,0,0.878041053079712,"High"
"Fantasy art",2016,5,15,"Thursday","Afternoon","Copyright",-0.692806752953662,-0.339038516556518,0.819068447099816,0.871951627115979,1,1,1.32419131264899,"High"
"Fantasy art",2022,2,11,"Thursday","Morning","Copyright",-0.365941337052572,-0.508003049621296,0.566472106895086,1.7153063790065,1,0,0.810805533534858,"High"
"Fantasy art",2014,2,19,"Friday","Evening","Copyright",1.35039595573398,0.572052473336831,0.917366824956008,0.171849290544954,1,0,0.31342491425018,"Medium"
"Fantasy art",2021,9,14,"Saturday","Afternoon","Copyright",0.826997214222675,0.625312322318143,-0.401233803721672,0.431126529845151,1,0,0.375630328592401,"Medium"
"Fantasy art",2021,5,15,"Sunday","Afternoon","Copyright",0.706845383861975,0.68000706222627,0.917366824956008,1.75410100352188,1,0,0.99156365348602,"High"
"Fantasy art",2021,10,16,"Sunday","Afternoon","Copyright",-0.382763872638253,0.421225475515505,0.353421466795957,1.82653735583703,1,0,0.845473876033576,"High"
"Fantasy art",2021,2,22,"Wednesday","Night","Copyright",-0.0988727678691838,-1.1695150473933,0.7866096452391,1.07193211949824,1,0,0.773746086414192,"High"
"Fantasy art",2021,12,9,"Thursday","Morning","Copyright",0.218894416197177,0.788373625967582,0.393839996535901,1.86072767937278,1,0,0.878041053079712,"High"
"Fantasy art",2021,3,12,"Friday","Afternoon","Copyright",-0.00753857667055305,0.185602693986009,-0.0629434178243754,0.842033032883325,1,0,0.733941105705724,"High"
"Fantasy art",2019,4,11,"Wednesday","Morning","Copyright",-0.205771002340536,-0.129119457907494,0.353421466795957,0.137669408173142,1,1,0.845473876033576,"High"
"Fantasy art",2021,3,12,"Monday","Afternoon","Copyright",0.121429292475526,0.178354289853499,0.105435323961856,0.830316092210995,1,0,0.908747268962047,"High"
"Fantasy art",2018,4,15,"Friday","Afternoon","Copyright",-0.202899311103946,-0.170275463170759,0.953058844099831,0.733174511818135,1,0,1.42446148007694,"High"
"Fantasy art",2019,2,16,"Monday","Afternoon","Copyright",-0.216682736225494,-0.773541770715505,0.413191046034714,0.501589902793163,1,0,1.06330742287536,"High"
"Fantasy art",2018,10,16,"Thursday","Afternoon","Copyright",-0.576642758508328,-0.407433885418135,1.20498600078373,0.52730570968342,1,1,1.10631473153428,"High"
"Fantasy art",2016,6,18,"Sunday","Evening","Copyright",-0.762803679682246,-1.520944130744,0.353421466795957,0.475456359757871,1,0,0.577236558447373,"Medium"
"Fantasy art",2016,1,17,"Saturday","Evening","Copyright",-0.584689059430368,-0.320429393767453,0.995214206193157,0.956148141318254,1,0,1.41290395738649,"High"
"Fantasy art",2018,12,16,"Monday","Afternoon","Copyright",-0.71017698517407,-0.890184488577639,0.665787386239444,0.466069117560125,1,0,0.845473876033576,"High"
"Fantasy art",2021,5,22,"Tuesday","Night","Copyright",-0.0988727678691838,-1.14503488466047,0.704316184856879,1.3209191706274,1,2,0.733941105705724,"High"
"Fantasy art",2021,10,21,"Thursday","Night","Copyright",0.84688717788704,1.47636438563653,0.468173729038895,0.828831215523615,2,1,0.593039085760848,"Medium"
"Fantasy art",2019,11,0,"Thursday","Night","Copyright",-0.0390758181562973,0.470533142813714,0.00943049357800654,0.276140566923265,2,0,0.845473876033576,"High"
"Fantasy art",2018,10,12,"Tuesday","Afternoon","Copyright",-0.529246917310505,-0.479394426747515,0.332283896576724,0.702592684194316,2,0,1.10631473153428,"High"
"Fantasy art",2019,7,11,"Thursday","Morning","Copyright",-0.136987281999536,0.0721633218558056,0.105435323961856,0.529157030571082,2,0,0.845473876033576,"High"
"Fantasy art",2017,11,16,"Wednesday","Afternoon","Copyright",-0.702405979043072,-0.56256026458588,0.678871911942237,0.326541850298271,2,0,0.586012584767789,"Medium"
"Fantasy art",2015,6,6,"Friday","Morning","Copyright",-0.518832871824307,-0.947003405880282,1.04260657075418,0.825847649433669,2,0,1.28117826509121,"High"
"Fantasy art",2021,8,22,"Monday","Night","Copyright",-0.0988727678691838,-1.01160323698931,0.610804703235263,0.903102072360992,2,2,0.6909510045538,"Medium"
"Fantasy art",2021,4,7,"Wednesday","Morning","Copyright",1.49723624725732,1.94253804396922,-0.0629434178243754,0.340414228902634,2,0,0.385200664580882,"Medium"
"Fantasy art",2020,6,19,"Sunday","Evening","Copyright",-0.816113182850374,-0.858108779597964,0.986987559006199,1.0268019841674,2,4,1.12659324615701,"High"
"Fantasy art",2023,10,19,"Friday","Evening","Copyright",0.743933354661445,-0.233719123577486,-1.57225395885963,-2.04877603993752,2,0,-1.74184177870234,"Very Low"
"Fantasy art",2022,3,18,"Monday","Evening","Copyright",-0.803803475714213,-0.0138419510153203,0.86997446039499,1.99722422634922,2,1,1.33779668771923,"High"
"Fantasy art",2019,4,6,"Monday","Morning","Copyright",1.48441842135811,2.18234201607907,1.5071959421812,0.78201116098539,2,0,1.29590171837539,"High"
"Fantasy art",2017,3,19,"Friday","Evening","Copyright",-0.0988727678691838,0.125348155162811,0.332283896576724,0.403147297540681,2,0,0.908747268962047,"High"
"Fantasy art",2017,11,15,"Tuesday","Afternoon","Copyright",-0.733997310295281,-0.561836903432885,0.162711554438379,0.300517262021141,2,0,0.64422136349793,"Medium"
"Fantasy art",2021,4,18,"Tuesday","Evening","Copyright",-0.0988727678691838,-0.763498015702601,0.468173729038895,1.5801722768073,2,0,0.878041053079712,"High"
"Fantasy art",2015,2,19,"Thursday","Evening","Copyright",0.11790686931375,-0.542517983073455,0.986987559006199,0.642260078658805,2,0,1.20082609172792,"High"
"Fantasy art",2021,5,14,"Monday","Afternoon","Copyright",0.0192417877308611,0.785375042133951,-0.401233803721672,1.53776860199974,2,0,0.810805533534858,"High"
"Fantasy art",2021,10,9,"Friday","Morning","Copyright",1.25219160789036,1.92737728936259,0.042945278474979,1.00150638913098,2,0,0.845473876033576,"High"
"Fantasy art",2015,1,13,"Friday","Afternoon","Copyright",-0.5962298526396,-0.364273609641798,0.678871911942237,0.869224438241556,2,0,1.26604012937895,"High"
"Fantasy art",2021,10,13,"Sunday","Afternoon","Copyright",0.916464575809354,1.29405013659973,0.413191046034714,1.75439097423493,2,0,0.6909510045538,"Medium"
"Fantasy art",2022,4,13,"Thursday","Afternoon","Copyright",0.0964089863685981,0.638470386779037,-0.143850567282366,0.524515308867792,2,0,0.575019979340349,"Medium"
"Fantasy art",2021,10,16,"Sunday","Afternoon","Copyright",1.01467691348817,0.889707715677692,-0.102206494256043,0.255383222541583,2,0,0.400782035885583,"Medium"
"Fantasy art",2021,7,9,"Friday","Morning","Copyright",1.67696470928575,2.31597329591044,0.042945278474979,0.662289206326129,2,1,0.773746086414192,"High"
"Fantasy art",2021,8,22,"Friday","Night","Copyright",-0.0988727678691838,-1.05855958289547,0.944308192897984,1.34880875053458,3,3,0.845473876033576,"High"
"Fantasy art",2022,5,13,"Tuesday","Afternoon","Copyright",1.17216642773649,1.47855374301547,0.105435323961856,1.6339791911576,3,0,0.64422136349793,"Medium"
"Fantasy art",2016,12,19,"Wednesday","Evening","Copyright",-0.386222517384361,-0.385424929130118,1.30569039451414,0.79918477208021,3,0,1.14613446285057,"High"
"Fantasy art",2018,6,4,"Monday","Night","Copyright",-0.350839549180819,-0.964276490008714,-0.0258037335929871,0.243824008173485,3,0,0.64422136349793,"Medium"
"Fantasy art",2016,4,16,"Wednesday","Afternoon","Copyright",-0.556733835627082,-0.129119457907494,1.16784631655234,0.994178722650849,3,1,1.44685670714405,"High"
"Fantasy art",2018,3,17,"Sunday","Evening","Copyright",-0.606541218953922,-0.541489895953293,0.551035123996507,0.566475370107597,3,0,0.965350772301244,"High"
"Fantasy art",2021,9,17,"Thursday","Evening","Copyright",0.951418200947646,1.18074650447404,0.162711554438379,1.68947314943556,3,0,0.810805533534858,"High"
"Fantasy art",2016,5,18,"Monday","Evening","Copyright",-0.592062498171346,-1.0006830608542,-0.102206494256043,0.566475370107597,3,0,0.773746086414192,"High"
"Fantasy art",2022,3,16,"Tuesday","Afternoon","Copyright",-0.662908296040137,-0.782938743948222,0.468173729038895,1.46936751599531,3,0,0.6909510045538,"Medium"
"Fantasy art",2020,7,16,"Friday","Afternoon","Copyright",-0.262305530566826,-0.75895675274469,0.189652922380355,0.770398561200657,3,3,0.99156365348602,"High"
"Fantasy art",2021,2,8,"Tuesday","Morning","Copyright",-0.0988727678691838,-0.627293363625899,-0.0629434178243754,0.468171049216266,3,1,0.425543076749812,"Medium"
"Fantasy art",2021,11,22,"Wednesday","Night","Copyright",-0.0988727678691838,-1.26220512842717,0.332283896576724,1.25467801899386,3,4,0.578341429692998,"Medium"
"Fantasy art",2021,7,11,"Monday","Morning","Copyright",-0.0239979423977316,0.0678959872123557,-0.466703970281082,0.605857642071885,3,0,0.555800614601312,"Medium"
"Fantasy art",2021,11,17,"Sunday","Evening","Copyright",-0.00433533064885571,-0.618121021822863,-0.0258037335929871,0.815766714414764,3,0,0.733941105705724,"High"
"Fantasy art",2016,10,16,"Saturday","Afternoon","Copyright",-0.24351087676052,-0.0334102523691202,0.917366824956008,0.795480050536721,3,0,1.33779668771923,"High"
"Fantasy art",2021,3,11,"Friday","Morning","Copyright",1.4624601233086,2.14473496075264,0.502526728597298,1.15498266596359,3,2,1.06330742287536,"High"
"Fantasy art",2021,7,11,"Friday","Morning","Copyright",-0.873609632726244,-0.782721766986502,0.944308192897984,1.70215932920715,3,0,0.773746086414192,"High"
"Fantasy art",2015,5,18,"Thursday","Evening","Creative Commons Attribution-Share Alike 3.0 License",0.455985112774644,-0.726729589903345,1.40259965798428,0.658066854192207,3,0,1.29590171837539,"High"
"Fantasy art",2021,9,8,"Sunday","Morning","Copyright",0.515489149557736,0.699016308032022,0.332283896576724,0.970021438638701,3,0,0.6909510045538,"Medium"
"Fantasy art",2020,12,13,"Sunday","Afternoon","Copyright",1.82816624792742,1.39496619983749,0.610804703235263,1.51424362842846,3,1,0.64422136349793,"Medium"
"Fantasy art",2021,10,4,"Thursday","Night","Copyright",-1.21330187958023,-1.10646171911474,-0.0629434178243754,0.717814371582745,3,0,0.581642482064304,"Medium"
"Fantasy art",2021,4,15,"Sunday","Afternoon","Copyright",0.32253025959308,0.410923473720236,-0.235575528183561,1.65349486891905,3,1,0.965350772301244,"High"
"Fantasy art",2021,1,16,"Monday","Afternoon","Copyright",2.07695994384911,2.67627563773091,-0.466703970281082,0.688203566330265,3,0,0.64422136349793,"Medium"
"Fantasy art",2021,12,13,"Friday","Afternoon","Copyright",-0.412125793165605,-0.285284351739784,0.189652922380355,1.47999264872633,3,0,0.773746086414192,"High"
"Fantasy art",2017,2,15,"Thursday","Afternoon","Copyright",-0.185138346019805,-0.176361968479378,0.042945278474979,0.260253441424744,4,0,0.489098158081776,"Medium"
"Fantasy art",2021,1,18,"Wednesday","Evening","Copyright",-0.165689891023067,0.220737499853155,-0.143850567282366,0.415003567828364,4,0,0.452013132447615,"Medium"
"Fantasy art",2016,2,18,"Saturday","Evening","Copyright",-1.06503582675964,-0.853683336557179,-0.102206494256043,0.150011918329522,4,0,0.516408634045118,"Medium"
"Fantasy art",2018,11,16,"Monday","Afternoon","Copyright",-0.365941337052572,-0.673363830143961,0.879718124895618,0.544612241210077,4,0,0.845473876033576,"High"
"Fantasy art",2014,9,18,"Monday","Evening","Copyright",-0.520401270725522,-0.546471625890355,1.65970038698395,1.14326049900975,4,0,1.73653222921604,"High"
"Fantasy art",2022,2,7,"Sunday","Morning","Copyright",1.62344191176932,2.03025283738112,0.535243237018833,1.60491959778254,4,0,0.64422136349793,"Medium"
"Fantasy art",2022,5,16,"Saturday","Afternoon","Copyright",0.963415354482015,0.705800087280722,-0.539077881683464,0.582451561509477,4,0,0.336414456662662,"Medium"
"Fantasy art",2021,7,22,"Friday","Night","Copyright",-0.0988727678691838,-1.1443236264734,0.432011862523945,1.02909646703663,4,0,0.64422136349793,"Medium"
"Fantasy art",2021,9,13,"Tuesday","Afternoon","Creative Commons Attribution-Noncommercial-Share Alike 3.0 License",1.08215445622229,0.220737499853155,0.373927969603047,1.63777903820583,4,1,0.773746086414192,"High"
"Fantasy art",2022,2,16,"Sunday","Afternoon","Copyright",1.51039895334637,2.02016208031343,0.850062433462136,1.69704327416922,4,0,0.64422136349793,"Medium"
"Fantasy art",2021,6,14,"Friday","Afternoon","Copyright",0.628763226026712,1.22248756249503,0.264663753833989,1.49063907256668,4,0,0.733941105705724,"High"
"Fantasy art",2019,4,9,"Friday","Morning","Copyright",-0.365941337052572,-0.409326832326256,-0.235575528183561,0.201942419018976,4,0,0.461012384159875,"Medium"
"Fantasy art",2019,4,14,"Tuesday","Afternoon","Copyright",-0.239220232753858,-0.117800703649621,0.105435323961856,0.593893212087711,4,0,0.845473876033576,"High"
"Fantasy art",2017,9,15,"Monday","Afternoon","Copyright",0.537667465380114,0.0848081751590768,1.46312202286529,0.285427091935904,4,0,0.937793755539008,"High"
"Fantasy art",2017,9,21,"Thursday","Night","Copyright",0.361120123485394,-0.718041606553017,1.42044265675707,0.472347575659408,4,0,1.04044052643494,"High"
"Fantasy art",2015,5,22,"Sunday","Night","Copyright",-0.0524449454267129,0.167335879909583,0.189652922380355,0.743937978993552,4,0,0.733941105705724,"High"
"Fantasy art",2017,1,16,"Saturday","Afternoon","Copyright",-0.0977081098647747,0.0191130882061145,0.332283896576724,0.533754418903331,4,0,0.6909510045538,"Medium"
"Fantasy art",2021,9,13,"Wednesday","Afternoon","Copyright",1.05342876685088,1.0761012423091,0.850062433462136,1.1847562998781,4,3,0.878041053079712,"High"
"Fantasy art",2019,3,9,"Thursday","Morning","Copyright",-0.740075439968353,-0.66366762509024,0.797600548992608,0.40673494248619,4,0,0.773746086414192,"High"
"Fantasy art",2019,1,18,"Wednesday","Evening","Copyright",-0.306022536505912,-0.0186818939525118,-0.0258037335929871,0.523581568988883,4,0,0.965350772301244,"High"
"Fantasy art",2015,4,17,"Wednesday","Evening","Creative Commons Attribution-Share Alike 3.0 License",0.114684141957395,-0.619681147067176,0.7866096452391,0.216311669098542,4,0,0.733941105705724,"High"
"Fantasy art",2021,3,16,"Sunday","Afternoon","Copyright",0.128382284353404,0.0972239391439299,0.468173729038895,1.82391008983751,4,0,1.14613446285057,"High"
"Fantasy art",2022,3,15,"Wednesday","Afternoon","Copyright",-0.0338213528310166,0.387161651140591,0.450330730266102,0.676102067682316,4,0,0.474569714972217,"Medium"
"Fantasy art",2021,11,19,"Monday","Evening","Copyright",0.916464575809354,1.57570535308875,0.86997446039499,1.65741120949007,4,0,0.6909510045538,"Medium"
"Fantasy art",2021,11,14,"Thursday","Afternoon","Copyright",-0.105365154435799,0.171028401677691,0.468173729038895,1.88203869935935,5,0,0.64422136349793,"Medium"
"Fantasy art",2021,11,21,"Wednesday","Night","Copyright",0.812828715636095,1.153195551885,0.944308192897984,1.80451903442507,5,0,0.937793755539008,"High"
"Fantasy art",2022,3,18,"Tuesday","Evening","Copyright",-0.993502314336565,-1.01457872106968,0.716693399534618,0.750982195789368,5,0,0.64422136349793,"Medium"
"Fantasy art",2022,1,16,"Sunday","Afternoon","Copyright",1.57019592767389,1.11340829632407,0.264663753833989,1.75410100352188,5,0,0.6909510045538,"Medium"
"Fantasy art",2021,2,13,"Sunday","Afternoon","Copyright",1.14109341418155,0.549108782276182,0.551035123996507,0.459707683671705,5,0,0.55175692255695,"Medium"
"Fantasy art",2018,8,23,"Monday","Night","Copyright",-0.475873556042043,0.101313040247132,1.19282786339371,0.67131252317258,5,1,1.66109702954179,"High"
"Fantasy art",2022,4,14,"Tuesday","Afternoon","Copyright",1.58182174686134,2.29388321921057,-0.235575528183561,0.793883542365561,5,0,0.733941105705724,"High"
"Fantasy art",2021,7,10,"Monday","Morning","Copyright",2.08198757656627,1.14790413096532,-0.188183163622543,-0.0637835149514812,5,0,0.0652868165567042,"Low"
"Fantasy art",2020,6,8,"Tuesday","Morning","Copyright",-0.303271958133766,-0.345709644108961,-0.0629434178243754,0.209180660653639,5,0,0.505144713034501,"Medium"
"Fantasy art",2016,8,4,"Monday","Night","Copyright",-0.512530513457803,0.0417184463703175,-0.143850567282366,0.469218583076266,5,0,0.878041053079712,"High"
"Fantasy art",2021,5,13,"Tuesday","Afternoon","Copyright",0.081718302017108,0.600184743579251,-0.71170999204265,0.589022911076053,5,0,0.64422136349793,"Medium"
"Fantasy art",2022,1,15,"Tuesday","Afternoon","Copyright",-0.0988727678691838,-1.04347768201423,-0.143850567282366,1.48394915392636,5,0,0.508925640734395,"Medium"
"Fantasy art",2021,10,15,"Saturday","Afternoon","Copyright",0.392068405628711,1.18074650447404,-0.466703970281082,0.426574810681756,5,0,0.260293333663296,"Medium"
"Fantasy art",2017,8,19,"Sunday","Evening","Copyright",0.0634288756098102,-0.691947804390512,0.535243237018833,0.45649515971859,5,0,0.965350772301244,"High"
"Fantasy art",2022,3,15,"Saturday","Afternoon","Copyright",-0.0575888106054686,0.167335879909583,0.373927969603047,1.60154655482366,5,0,0.593039085760848,"Medium"
"Fantasy art",2022,6,15,"Tuesday","Afternoon","Copyright",1.51039895334637,1.6329966169105,0.917366824956008,1.6583853360838,5,0,0.64422136349793,"Medium"
"Fantasy art",2021,7,12,"Friday","Afternoon","Copyright",0.740204603703368,0.730657464356362,0.86997446039499,1.85062820432804,5,0,1.08524109296515,"High"
"Fantasy art",2023,3,20,"Wednesday","Evening","Copyright",-0.62133789498775,-1.53005025193268,1.12858324012068,2.07763599249705,5,1,1.08524109296515,"High"
"Fantasy art",2018,12,18,"Wednesday","Evening","Copyright",1.99159909384072,1.93246823062002,0.551035123996507,0.415003567828364,5,0,0.810805533534858,"High"
"Fantasy art",2019,2,1,"Monday","Night","Copyright",1.30947970584928,1.13809579025037,0.624968438633422,-0.04820542594897,5,0,0.421125081973547,"Medium"
"Fantasy art",2021,8,8,"Friday","Morning","Copyright",0.967613237692453,0.754644705610215,-0.942838434140172,-0.260525009432404,5,0,-0.44918010195431,"Low"
"Fantasy art",2018,5,14,"Monday","Afternoon","Copyright",1.09387730959858,1.32823271997996,2.00810401680324,-0.0864761867814888,5,0,0.471885466339089,"Medium"
"Fantasy art",2021,9,15,"Monday","Afternoon","Copyright",1.5306037213392,1.08392131311207,-0.143850567282366,0.221591442269711,5,0,0.218845473888498,"Low"
"Fantasy art",2021,10,13,"Thursday","Afternoon","Copyright",0.0651023383069399,0.692164706424518,-0.341464224482915,0.688203566330265,6,0,0.64422136349793,"Medium"
"Fantasy art",2021,5,16,"Tuesday","Afternoon","Copyright",0.105805513224929,0.630982455250247,-0.942838434140172,-0.255783053103879,6,0,0.0094492029166703,"Low"
"Fantasy art",2019,5,16,"Thursday","Afternoon","Copyright",-0.241276605198661,-0.0383908949395296,0.610804703235263,0.388523188223825,6,0,0.937793755539008,"High"
"Fantasy art",2020,10,11,"Friday","Morning","Copyright",-0.204954035320097,-0.0902956229749475,0.287951300236546,0.461837516548657,6,0,0.593039085760848,"Medium"
"Fantasy art",2023,9,15,"Saturday","Afternoon","Copyright",-0.458528251305176,-0.227103847962225,1.10110290249251,1.92340264413001,6,5,0.908747268962047,"High"
"Fantasy art",2021,5,19,"Monday","Evening","Copyright",0.549995020382473,0.316475768246331,-0.286481541478734,0.397107820378934,6,0,0.447104242880502,"Medium"
"Fantasy art",2020,11,2,"Thursday","Night","Copyright",1.23223147228857,-0.265840219825967,1.09405753991276,1.37437318910932,6,0,0.733941105705724,"High"
"Fantasy art",2016,10,9,"Monday","Morning","Copyright",-0.667500226448764,-0.910183147804159,0.819068447099816,0.714053838186482,6,0,0.810805533534858,"High"
"Fantasy art",2013,3,18,"Monday","Evening","Copyright",-0.827295236979674,-0.391853961886179,1.42044265675707,0.359187476168864,6,0,1.16499012017871,"High"
"Fantasy art",2022,10,16,"Wednesday","Afternoon","Copyright",-0.0906009141458755,0.586262951077684,-0.0258037335929871,0.984590496620343,6,0,0.64422136349793,"Medium"
"Fantasy art",2021,6,16,"Friday","Afternoon","Copyright",0.166923196837181,0.876680811742533,-0.188183163622543,0.13348389339639,6,0,0.168045082214688,"Low"
"Fantasy art",2016,11,18,"Tuesday","Evening","Copyright",0.889995934161664,0.418664457100747,0.042945278474979,0.343141366273257,6,0,0.6909510045538,"Medium"
"Fantasy art",2020,3,18,"Monday","Evening","Copyright",-0.0985295306935316,0.159890608935381,0.189652922380355,0.0333793920357702,6,0,0.412178639582128,"Medium"
"Fantasy art",2021,11,13,"Sunday","Afternoon","Copyright",-0.94250490340131,-1.64225887055801,-0.286481541478734,0.17571543794245,6,0,0.159692777200869,"Low"
"Fantasy art",2022,5,17,"Wednesday","Evening","Copyright",-0.0293748691421124,-0.117800703649621,-0.401233803721672,-0.0512809721224157,6,0,0.119765776001663,"Low"
"Fantasy art",2021,11,19,"Tuesday","Evening","Copyright",0.0612975973700479,0.279769330493557,-1.29373315220109,-0.706300417837817,6,0,-0.288975126918478,"Low"
"Fantasy art",2022,6,13,"Friday","Afternoon","Copyright",-1.5508387411327,-1.12422604988848,-0.401233803721672,0.494692352458594,6,0,0.593039085760848,"Medium"
"Fantasy art",2020,1,19,"Friday","Evening","Copyright",0.32253025959308,0.426318978685399,1.54494812474101,0.79918477208021,6,3,1.5089351915775,"High"
"Fantasy art",2020,3,10,"Saturday","Morning","Copyright",-0.563736510993861,-0.240398878052167,0.162711554438379,0.10535321116155,6,0,0.471885466339089,"Medium"
"Fantasy art",2022,1,12,"Monday","Afternoon","Copyright",0.895831910658439,0.842987195653877,-0.942838434140172,-0.232749662091462,6,1,-0.0116327019429442,"Low"
"Fantasy art",2021,10,14,"Thursday","Afternoon","Copyright",0.551159923058922,0.460951339162645,-0.817598688342004,-0.228272352403851,6,0,-0.113285091107007,"Low"
"Fantasy art",2021,12,0,"Wednesday","Night","Creative Commons Attribution-Noncommercial-Share Alike 3.0 License",-0.504989380156818,-0.537109856685703,0.704316184856879,1.81715128756956,6,0,0.589807494834322,"Medium"
"Fantasy art",2022,1,16,"Sunday","Afternoon","Copyright",0.32253025959308,0.529747981463292,-0.286481541478734,0.377255947715626,6,0,0.393826256512485,"Medium"
"Fantasy art",2017,3,15,"Wednesday","Afternoon","Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 License",2.54337702028834,1.89213668633274,1.08693916709435,1.58328447120472,6,0,0.481222271073034,"Medium"
"Fantasy art",2021,11,14,"Monday","Afternoon","Copyright",-0.623694474905639,-1.43526454508323,0.332283896576724,0.47338606950149,7,0,0.400782035885583,"Medium"
"Fantasy art",2022,5,16,"Sunday","Afternoon","Copyright",0.057290364892043,0.426318978685399,-0.341464224482915,-0.15027309249006,7,0,-0.113285091107007,"Low"
"Fantasy art",2022,1,18,"Friday","Evening","Copyright",-0.0526684188515461,-0.588992384435857,1.01137770087792,1.74760355575226,7,0,0.6909510045538,"Medium"
